name,cont_estres_R1,cont_estres_R2,cont_estres_R3,control_R1,control_R2,ctrl_N7_XT17_R1,ctrl_N7_XT17_R2,ctrl_N7_XT17_R3,estres_N7_XT17_R1,estres_N7_XT17_R2,estres_N7_XT17_R3
AVESA.00001b.r3.1Ag0000119,0,33,2,0,0,0,2,2,2,29,4
AVESA.00001b.r3.1Ag0000120,247,393,387,284,296,120,358,224,373,323,397
AVESA.00001b.r3.1Ag0000121,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000122,11,15,14,13,2,4,11,29,20,11,14
AVESA.00001b.r3.1Ag0000123,26,16,18,14,17,10,11,6,30,10,27
AVESA.00001b.r3.1Ag0000124,6,6,11,2,0,0,9,8,8,3,11
AVESA.00001b.r3.1Ag0000125,93,37,102,52,61,56,98,125,121,24,85
AVESA.00001b.r3.1Ag0000126,23,12,15,29,10,10,27,44,28,18,19
AVESA.00001b.r3.1Ag0000127,6,3,9,0,8,1,8,5,2,2,6
AVESA.00001b.r3.1Ag0000128,9,4,0,3,0,6,3,0,4,2,2
AVESA.00001b.r3.1Ag0000129,46,27,44,44,54,18,46,21,61,38,55
AVESA.00001b.r3.1Ag0000130,3,2,0,0,0,0,10,2,6,0,2
AVESA.00001b.r3.1Ag0000131,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000132,0,0,0,2,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000133,25,23,15,21,19,0,16,22,33,33,50
AVESA.00001b.r3.1Ag0000134,3,3,0,2,0,0,0,1,2,0,0
AVESA.00001b.r3.1Ag0000135,0,0,0,0,0,0,1,0,0,2,0
AVESA.00001b.r3.1Ag0000136,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000137,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000138,4,16,10,10,8,0,6,10,12,10,4
AVESA.00001b.r3.1Ag0000139,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000140,0,0,0,0,0,0,0,1,0,3,0
AVESA.00001b.r3.1Ag0000141,2,0,1,0,2,0,1,1,1,1,0
AVESA.00001b.r3.1Ag0000142,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000143,13,39,56,42,14,9,35,23,41,18,63
AVESA.00001b.r3.1Ag0000144,0,0,4,0,0,1,0,0,1,0,2
AVESA.00001b.r3.1Ag0000145,30,4,12,4,6,6,9,11,14,3,10
AVESA.00001b.r3.1Ag0000146,10,15,8,20,12,8,5,2,17,3,3
AVESA.00001b.r3.1Ag0000147,19,2,9,10,8,4,2,7,9,8,10
AVESA.00001b.r3.1Ag0000148,4,1,5,0,0,0,0,3,3,3,4
AVESA.00001b.r3.1Ag0000149,71,62,94,88,85,54,125,144,91,105,58
AVESA.00001b.r3.1Ag0000150,0,0,0,0,2,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000151,18,16,37,23,22,24,21,16,35,11,36
AVESA.00001b.r3.1Ag0000152,13,12,39,19,18,1,30,20,18,34,24
AVESA.00001b.r3.1Ag0000153,9,10,10,21,7,8,3,5,8,5,13
AVESA.00001b.r3.1Ag0000154,53,71,70,55,49,12,54,55,81,31,89
AVESA.00001b.r3.1Ag0000155,6,1,9,3,8,0,4,4,4,4,4
AVESA.00001b.r3.1Ag0000156,8,14,14,5,10,2,9,11,9,17,15
AVESA.00001b.r3.1Ag0000157,2,3,10,2,6,0,11,7,0,8,10
AVESA.00001b.r3.1Ag0000158,1,2,0,0,2,0,0,2,0,0,2
AVESA.00001b.r3.1Ag0000159,9,14,17,10,15,4,13,13,26,3,17
AVESA.00001b.r3.1Ag0000160,35,81,77,62,57,22,89,115,64,79,52
AVESA.00001b.r3.1Ag0000161,0,0,0,0,0,0,0,1,0,0,0
AVESA.00001b.r3.1Ag0000162,18,18,10,10,3,21,11,15,3,10,18
AVESA.00001b.r3.1Ag0000163,0,0,2,4,2,2,0,0,0,2,1
AVESA.00001b.r3.1Ag0000164,5,2,1,6,2,0,0,2,0,1,3
AVESA.00001b.r3.1Ag0000165,0,0,0,0,2,0,0,2,0,0,0
AVESA.00001b.r3.1Ag0000166,39,21,39,22,31,14,72,68,33,36,36
AVESA.00001b.r3.1Ag0000167,6,8,24,17,9,5,24,14,23,9,12
AVESA.00001b.r3.1Ag0000168,37,43,51,52,36,2,76,66,80,33,55
AVESA.00001b.r3.1Ag0000169,2,0,0,0,0,0,0,0,0,0,2
AVESA.00001b.r3.1Ag0000170,0,0,2,0,2,0,0,1,0,0,0
AVESA.00001b.r3.1Ag0000171,16,16,23,17,35,0,17,14,30,13,40
AVESA.00001b.r3.1Ag0000172,5,11,0,0,4,2,4,9,12,5,12
AVESA.00001b.r3.1Ag0000173,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000174,45,12,24,33,17,4,18,23,39,20,39
AVESA.00001b.r3.1Ag0000175,6,8,10,10,4,0,5,6,6,5,4
AVESA.00001b.r3.1Ag0000176,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000177,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000178,11,17,10,9,13,5,9,5,15,10,9
AVESA.00001b.r3.1Ag0000179,10,0,17,10,14,8,52,47,7,6,10
AVESA.00001b.r3.1Ag0000180,5,5,5,8,6,3,3,4,3,3,6
AVESA.00001b.r3.1Ag0000181,25,23,18,25,24,0,30,28,20,17,25
AVESA.00001b.r3.1Ag0000182,11,5,9,9,4,2,7,2,12,14,10
AVESA.00001b.r3.1Ag0000183,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000184,33,38,44,33,28,4,48,27,40,42,38
AVESA.00001b.r3.1Ag0000185,16,26,32,10,30,18,19,30,25,20,35
AVESA.00001b.r3.1Ag0000186,1,2,11,0,2,2,3,4,1,6,3
AVESA.00001b.r3.1Ag0000187,5,0,2,4,1,0,1,6,5,2,4
AVESA.00001b.r3.1Ag0000188,4,5,0,2,0,10,6,4,4,3,2
AVESA.00001b.r3.1Ag0000189,0,0,12,0,0,0,0,3,0,2,1
AVESA.00001b.r3.1Ag0000190,2,6,3,6,10,4,4,3,4,7,12
AVESA.00001b.r3.1Ag0000191,11,34,35,53,38,21,54,47,27,45,18
AVESA.00001b.r3.1Ag0000192,4,3,0,4,6,0,4,0,2,3,0
